CUSTNO	CODE	DESCR	DELETED	INACTIVE	SBDESCR	USEONSB	OLDSEQNO	LASTMODIFIED	IMPORTID	EFFDATE	TERMDATE	ICD_VERSION	CREATE_USER	CREATE_DATE	UPDATE_USER	DELETE_USER	DELETE_DATE
10031998	F10.10	Alcohol abuse, uncomplicated	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.11	Alcohol abuse, in remission	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.120	Alcohol abuse with intoxication, uncomplicated	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.121	Alcohol abuse with intoxication delirium	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.129	Alcohol abuse with intoxication, unspecified	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.130	Alcohol abuse with withdrawal, uncomplicated	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.131	Alcohol abuse with withdrawal delirium	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.132	Alcohol abuse with withdrawal with perceptual disturbance	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.139	Alcohol abuse with withdrawal, unspecified	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.14	Alcohol abuse with alcohol-induced mood disorder	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.150	Alcohol abuse w alcoh-induce psychotic disorder w delusions	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.151	Alcohol abuse w alcoh-induce psychotic disorder w hallucin	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.159	Alcohol abuse with alcohol-induced psychotic disorder, unsp	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.180	Alcohol abuse with alcohol-induced anxiety disorder	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.181	Alcohol abuse with alcohol-induced sexual dysfunction	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.182	Alcohol abuse with alcohol-induced sleep disorder	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.188	Alcohol abuse with other alcohol-induced disorder	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.19	Alcohol abuse with unspecified alcohol-induced disorder	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.20	Alcohol dependence, uncomplicated	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.21	Alcohol dependence, in remission	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.220	Alcohol dependence with intoxication, uncomplicated	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.221	Alcohol dependence with intoxication delirium	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.229	Alcohol dependence with intoxication, unspecified	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.230	Alcohol dependence with withdrawal, uncomplicated	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.231	Alcohol dependence with withdrawal delirium	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.232	Alcohol dependence w withdrawal with perceptual disturbance	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.239	Alcohol dependence with withdrawal, unspecified	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
10031998	F10.24	Alcohol dependence with alcohol-induced mood disorder	0	N		N		03/02/2025 21:09:12				10	shamika.vantage	03/02/2025 21:09:12	shamika.vantage		
