CUSTNO	CODE	DESCR	PRICE	PRACTICE	TYPE	DELETED	INACTIVE	DEPARTMENT	ISPRACTICE	TOS	MOD1	MOD2	MOD3	SBDESCR	SBCATEGORY	USEONSB	OLDSEQNO	MOD4	POS	CLIA	PAYORLIST	OLDPRICE	SDESCR	LDESCR	USEMCFS	LASTMODIFIED	MCLIA	USEFSCLIA	IMPORTID	ALLOWED	UNITS	REVCODE	STMTMSG	BILLINGMODE	BILLINGENTITY	PTYPE	ALLINCLUSIVE	EFFDATE	TERMDATE	DISCOUNT_MODEL	DRUGCODE	DRUGUNITPRC	DSEE	NOTES	ADDTLDESCR	DRUG_CODE_FORMAT	IS_TAX_CODE	DRUGUNITS	DRUG_UNIT_OF_MEASURE	LOCKED_94	DEFAULT_CHARGE_STATUS	NARRATIVE_NOTES	GLOBAL_PERIOD	USE_BASE_UNITS_MPFS	ANESTHESIA_BASE_UNITS	INCLUSIVE_OPTION	CREATE_USER	CREATE_DATE	UPDATE_USER	DELETE_USER	DELETE_DATE	COST	AUTO_PAY_INCLUSIVE
10031998	H0015	CD IOP	3200.00	00000000	X	0	N		N							N			22							03/02/2025 20:45:55		N			1.00	0906		0		HC	N					0.00	N				0	1.00	UN				XXX	f	0.00		shamika.vantage	03/02/2025 20:45:07	shamika.vantage				f
10031998	H0011	ALCOHOL AND/OR DRUG SERVICES	0.00	00000000	X	0	N		N							N										03/02/2025 20:46:40		N			1.00			0		HC	N					0.00	N				0	1.00	UN				XXX	f	0.00		shamika.vantage	03/02/2025 20:46:39	shamika.vantage				f
10031998	H0010D	CD DTX	6775.00	00000000	X	0	N		N							N			55							03/02/2025 20:48:07		N			1.00	1002		0		HC	N					0.00	N				0	1.00	UN				XXX	f	0.00		shamika.vantage	03/02/2025 20:48:07	shamika.vantage				f
10031998	H0008	CD DTX	6775.00	00000000	X	0	N		N							N			21							03/02/2025 20:50:05		N			1.00	0126		0		HC	N					0.00	N				0	1.00	UN				XXX	f	0.00		shamika.vantage	03/02/2025 20:50:04	shamika.vantage				f
10031998	S0201	CD PHP	3800.00	00000000	X	0	N		N							N			22							03/02/2025 21:02:03		N			1.00	0913		0		HC	N					0.00	N				0	1.00	UN				XXX	f	0.00		shamika.vantage	03/02/2025 21:02:02	shamika.vantage				f
10031998	H0018	CD RTC	6275.00	00000000	X	0	N		N							N			55							03/02/2025 21:03:32		N			1.00	1002		0		HC	N					0.00	N				0	1.00	UN				XXX	f	0.00		shamika.vantage	03/02/2025 21:03:32	shamika.vantage				f
10031998	H0005	OP GROUP	2200.00	00000000	X	0	N		N							N			22							03/02/2025 21:50:48		N			1.00	0915		0		HC	N					0.00	N				0	1.00	UN				XXX	f	0.00		shamika.vantage	03/02/2025 21:50:47	shamika.vantage				f
10031998	ADMIN WO	ADMINISTRATIVE ADJUSTMENT	0.00	00000000	C	0	N		N							N										03/02/2025 22:05:19		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:05:18	shamika.vantage				f
10031998	AUTH WO	AUTHORIZATION WRITE OFF	0.00	00000000	C	0	N		N							N										03/02/2025 22:05:53		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:05:52	shamika.vantage				f
10031998	BD DEBT WO	BAD DEBT WRITE OFF	0.00	00000000	C	0	N		N							N										03/02/2025 22:06:17		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:06:16	shamika.vantage				f
10031998	BEN WO	BENEFITS WRITE OFF	0.00	00000000	C	0	N		N							N										03/02/2025 22:06:35		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:06:34	shamika.vantage				f
10031998	CHARITY WO	CHARITY WRITE OFF	0.00	00000000	C	0	N		N							N										03/02/2025 22:06:54		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:06:54	shamika.vantage				f
10031998	COB WO	COORDINATION OF BENEFITS WRITE OFF	0.00	00000000	C	0	N		N							N										03/02/2025 22:07:26		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:07:26	shamika.vantage				f
10031998	COLLECTION	SENT TO COLLECTION AGENCY	0.00	00000000	C	0	N		N							N										03/02/2025 22:07:49		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:07:49	shamika.vantage				f
10031998	CTSY-BL WO	COURTESY BILL WO	0.00	00000000	C	0	N		N							N										03/02/2025 22:08:23		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:08:22	shamika.vantage				f
10031998	DNB AUTH	DNB AUTH RELATED WRITE OFF	0.00	00000000	C	0	N		N							N										03/02/2025 22:08:47		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:08:47	shamika.vantage				f
10031998	DNB ELG WO	DNB BENEFITS WRITE OFF	0.00	00000000	C	0	N		N							N										03/02/2025 22:09:14		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:09:14	shamika.vantage				f
10031998	DNB MC WO	DNB MISSING CLINICALS WO	0.00	00000000	C	0	N		N							N										03/02/2025 22:09:42		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:09:42	shamika.vantage				f
10031998	DNB MED WO	DNB NO PROGRAMMING DUE TO MEDICAL	0.00	00000000	C	0	N		N							N										03/02/2025 22:10:19		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:10:18	shamika.vantage				f
10031998	DNB UBH WO	DNB UNBILLABLE HOURS WRITE OFF	0.00	00000000	C	0	N		N							N										03/02/2025 22:11:10		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:11:09	shamika.vantage				f
10031998	DUP WO	DUPLCATE CLAIM WRITE OFF	0.00	00000000	C	0	N		N							N										03/02/2025 22:11:39		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:11:39	shamika.vantage				f
10031998	INS BK WO	INSURANCE BANKRUPTCY WRITE OFF	0.00	00000000	C	0	N		N							N										03/02/2025 22:12:18		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:12:17	shamika.vantage				f
10031998	INS CREDIT	INSURANCE CREDITS	0.00	00000000	D	0	N		N							N										03/02/2025 22:12:49		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:12:48	shamika.vantage				f
10031998	INT	INTEREST CREDIT	0.00	00000000	C	0	N		N							N										03/02/2025 22:13:10		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:13:09	shamika.vantage				f
10031998	INT CHARGE	INTEREST CHARGE	0.00	00000000	D	0	N		N							N										03/02/2025 22:13:37		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:13:36	shamika.vantage				f
10031998	MED NC WO	MEDICAL NESSITY WRITE OFF	0.00	00000000	C	0	N		N							N										03/02/2025 22:14:06		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:14:05	shamika.vantage				f
10031998	MED RECORD	MEDICAL RECORD WRITE OFF	0.00	00000000	C	0	N		N							N										03/02/2025 22:14:27		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:14:27	shamika.vantage				f
10031998	MEDS - CBA	MEDICATION - CREDIT BALANCE ADJUSTMENT	0.00	00000000	C	0	N		N							N										03/02/2025 22:15:08		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:15:08	shamika.vantage				f
10031998	MEDS -D-CB	MEDICATION - CREDIT BALANCE ADJUSTMENT	0.00	00000000	D	0	N		N							N										03/02/2025 22:15:51		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:15:50	shamika.vantage				f
10031998	OON WO	OUT OF NETWORK WRITE OFF	0.00	00000000	C	0	N		N							N										03/02/2025 22:16:24		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:16:23	shamika.vantage				f
10031998	PAT RFND	CLIENT REFUND	0.00	00000000	D	0	N		N							N										03/02/2025 22:16:49		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:16:48	shamika.vantage				f
10031998	PROMPT PAY	PROMPT PAY DISCOUNT 15 DAYS	0.00	00000000	T	0	N		N							N										03/02/2025 22:17:34		N								HC	N			10018310			N													E	shamika.vantage	03/02/2025 22:17:33	shamika.vantage				f
10031998	REFUND REQ	REFUND UPON REQUEST	0.00	00000000	D	0	N		N							N										03/02/2025 22:18:09		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:18:08	shamika.vantage				f
10031998	RENT - CBA	RENT - CREDIT BALANCE ADJUSTMENT	0.00	00000000	C	0	N		N							N										03/02/2025 22:18:46		N								HC	N			0			N													E	shamika.vantage	03/02/2025 22:18:45	shamika.vantage				f
